UID,Name,Name_zh,Alliance,Alliance_UID,Alliance_zh,Irrigation_Region
V001,Beitou,陂头,Beitou sishê (Beitou four shê ritual alliance),A001,陂头四社,Southern
V002,Wumen,吴门,Beitou sishê (Beitou four shê ritual alliance),A001,陂头四社,Southern
V003,Baiyuling,白玉岭,Beitou sishê (Beitou four shê ritual alliance),A001,陂头四社,Southern
V004,Tiezao,铁灶,Beitou sishê (Beitou four shê ritual alliance),A001,陂头四社,Southern
V005,Longqian,龙前,Hengshan sicun (Hengshan four village ritual alliance),A002,横山四村,Southern
V006,Puzi,莆仔,Hengshan sicun (Hengshan four village ritual alliance),A002,横山四村,Southern
V007,Shanghengshan,上横山,Hengshan sicun (Hengshan four village ritual alliance),A002,横山四村,Southern
V008,Xiahengshan,下横山,Hengshan sicun (Hengshan four village ritual alliance),A002,横山四村,Southern
V009,Qingcha,青垞,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V010,Yunzhuang,云庄,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V011,Goukou,沟口,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V012,Goudong,沟东,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V013,Gouxi,沟西,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V014,Qiandun,前敦,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V015,Zhongdun,中墩,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V016,Houdun,后墩,Goukou qijing (Goukou sevenfold ritual alliance),A003,沟口七境,Southern
V017,Houmian,后面,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V018,Dingcuo,顶厝,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V019,Xiacuo,下厝,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V020,Gouxia,沟下,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V021,Xiwei,西尾,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V022,Cangtou,苍头,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V023,Getou,隔头,Zhengban qijing (Zhengban sevenfold ritual alliance),A004,郑阪七境,Southern
V024,Nanwutang,南梧塘,Hutang wucun (Hutang five village ritual alliance),A005,梧塘五村,Southern
V025,Xiaqutou,下渠头,Hutang wucun (Hutang five village ritual alliance),A005,梧塘五村,Southern
V026,Dongting,东亭,Hutang wucun (Hutang five village ritual alliance),A005,梧塘五村,Southern
V027,Tangdong,塘东,Hutang wucun (Hutang five village ritual alliance),A005,梧塘五村,Southern
V028,Houliao,后廖,Hutang wucun (Hutang five village ritual alliance),A005,梧塘五村,Southern
V029,Xiadun,下墩,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V030,Quqiao,渠桥,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V031,Dongling,东岭,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V032,Tangbian,塘边,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V033,Dubian,度边,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V034,Xiangkou,巷口,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V035,Houting,后亭,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V036,Zhenwei,圳尾,Jindun qijing (Jindun sevenfold ritual alliance),A006,锦墩七境,Southern
V037,Yangwei,洋尾,Xidong sancun (Xidong three village ritual alliance),A007,溪东三村,Southern
V038,Xidong,溪东,Xidong sancun (Xidong three village ritual alliance),A007,溪东三村,Southern
V039,Dongba,东坝,Xidong sancun (Xidong three village ritual alliance),A007,溪东三村,Southern
V040,Xiquantou,溪泉头,Xinxi sancun (Xinxi three village ritual alliance),A008,新溪三村,Southern
V041,Sanshê,三社,Xinxi sancun (Xinxi three village ritual alliance),A008,新溪三村,Southern
V042,Daili,埭里,Xinxi sancun (Xinxi three village ritual alliance),A008,新溪三村,Southern
V043,Buyun,步云,Buyun ershê (Buyun two shê ritual alliance),A009,步云二村,Southern
V044,Baicheng,白埕,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V045,Qianmian,前面,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V046,Qubian,屈边,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V047,Houshê,后社,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V048,Houdai,后埭,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V049,Yuanding,园顶,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V050,Puwei,浦尾,Baicheng qijing (Baicheng sevenfold ritual alliance),A010,白埕七境,Southern
V051,Houzhou,后周,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V052,Houpeng,后彭,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V053,Houhu,后湖,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V054,Qianhu,前湖,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V055,Huibi,灰壁,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V056,Xicuo,西厝,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V057,Beicuo,北厝,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V058,尾厝,Weicuo,Zhangjiang bashê (Zhangjiang eight shê ritual alliance),A011,章江八社,Southern
V059,Houting,后亭,Xindu jiushê (Xindu nine shê ritual alliance),A012,新度九社,Southern
V060,Dubian,度边,Xindu jiushê (Xindu nine shê ritual alliance),A012,新度九社,Southern
V061,Dongdian,东店,Xindu jiushê (Xindu nine shê ritual alliance),A012,新度九社,Southern
V062,Sanjiaozeng,三角曾,Xindu jiushê (Xindu nine shê ritual alliance),A012,新度九社,Southern
V063,Cuobing,厝柄,Cuobing sishê (four shê ritual alliance of Cuobing),A013,厝柄四社,Southern
V064,Goucen,沟岑,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V065,Houzheng,后郑,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V066,Houdai,后戴,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V067,Goudong,沟东,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V068,Shangdun,上墩,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V069,腰沟,Yaogou,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V070,Peiwei,沛尾,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V071,Xijiao,西角,Puban qijing (Puban sevenfold ritual of alliance),A014,蒲阪七境,Southern
V072,Zhongjing,中境,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V073,Xiahe,下何,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V074,Huangcuoli,黄厝里,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V075,Houxiang,后巷,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V076,Dalu,大路,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V077,Shanping,山坪,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
V078,Hongshan,红山,Xiaban qijing (Xiaban sevenfold ritual alliance),A015,下阪七境,Southern
