UID_V,name,name_zh,irrigation_region,population
V001,Beitou,陂头,Southern,800
V002,Wumen,吴门,Southern,150
V003,Baiyuling,白玉岭,Southern,200
V004,Tiezao,铁灶,Southern,800
V005,Longqian,龙前,Southern,210
V006,Puzi,莆仔,Southern,1000
V007,Shanghengshan,上横山,Southern,800
V008,Xiahengshan,下横山,Southern,2400
V009,Qingcha,青垞,Southern,1500
V010,Yunzhuang,云庄,Southern,500
V011,Goukou,沟口,Southern,1300
V012,Goudong,沟东,Southern,500
V013,Gouxi,沟西,Southern,655
V014,Qiandun,前敦,Southern,509
V015,Zhongdun,中墩,Southern,600
V016,Houdun,后墩,Southern,500
V017,Houmian,后面,Southern,500
V018,Dingcuo,顶厝,Southern,1000
V019,Xiacuo,下厝,Southern,600
V020,Gouxia,沟下,Southern,800
V021,Xiwei,西尾,Southern,400
V022,Cangtou,苍头,Southern,300
V023,Getou,隔头,Southern,100
V024,Nanwutang,南梧塘,Southern,2400
V025,Xiaqutou,下渠头,Southern,600
V026,Dongting,东亭,Southern,200
V027,Tangdong,塘东,Southern,600
V028,Houliao,后廖,Southern,1000
V029,Xiadun,下墩,Southern,1500
V030,Quqiao,渠桥,Southern,700
V031,Dongling,东岭,Southern,1100
V032,Tangbian,塘边,Southern,1300
V033,Dubian,度边,Southern,1200
V034,Xiangkou,巷口,Southern,600
V035,Houting,后亭,Southern,600
V036,Zhenwei,圳尾,Southern,300
V037,Yangwei,洋尾,Southern,2000
V038,Xidong,溪东,Southern,800
V039,Dongba,东坝,Southern,1400
V040,Xiquantou,溪泉头,Southern,335
V041,Sanshê,三社,Southern,455
V042,Daili,埭里,Southern,1100
V043,Buyun,步云,Southern,1300
V044,Baicheng,白埕,Southern,800
V045,Qianmian,前面,Southern,363
V046,Qubian,屈边,Southern,263
V047,Houshê,后社,Southern,320
V048,Houdai,后埭,Southern,126
V049,Yuanding,园顶,Southern,212
V050,Puwei,浦尾,Southern,300
V051,Houzhou,后周,Southern,500
V052,Houpeng,后彭,Southern,600
V053,Houhu,后湖,Southern,200
V054,Qianhu,前湖,Southern,800
V055,Huibi,灰壁,Southern,250
V056,Xicuo,西厝,Southern,826
V057,Beicuo,北厝,Southern,585
V058,尾厝,Weicuo,Southern,300
V059,Houting,后亭,Southern,1500
V060,Dubian,度边,Southern,1000
V061,Dongdian,东店,Southern,1000
V062,Sanjiaozeng,三角曾,Southern,1200
V063,Cuobing,厝柄,Southern,3000
V064,Goucen,沟岑,Southern,300
V065,Houzheng,后郑,Southern,1000
