startdate,enddate,uid_r,text,gods_involved
02-25,02-25,V001-1,2/25: The birthday celebration of Guangping Zhouwang 广平周王.,[]
03-13,03-13,V001-2,3/13: The birthday celebration of Qianshi shengfei 钱氏圣妃.,['Qianshi shengfei']
07-07,07-07,V001-3,7/7: The birthday celebration of Taishan Kongwang 泰山孔王.,[]
08-14,08-14,V001-4,"8/14: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. On these days opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
08-15,08-15,V002-1,"8/15: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
06-24,06-24,V003-1,6/24: The birthday celebration of Yushu dadi 玉枢大帝 is organized by the village.,['Yushu dadi']
08-23,08-23,V003-2,"8/23: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is co-organized with the village of Tiezao 铁灶. On these occasions, opera is performed, and Daoist ritual masters are invited to conduct rites. Funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
01-09,01-09,V004-1,1/9: The celebration of Yuhuang dadi 玉皇大帝. This event is organized by the village as a whole.,['Yuhuang dadi']
05-16,05-16,V004-2,5/16: The birthday celebration of Yuhuang dadi 玉皇大帝. This event is organized by the village as a whole.,['Yuhuang dadi']
07-16,07-16,V004-3,"7/16: The birthday celebration of Sanyi jiaozhu 三一教主. Opera is performed, and Three in One scripture masters 经师 conduct rituals. This event is organized by the village as a whole.",['Sanyi jiaozhu']
08-23,08-23,V004-4,8/23: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of the Mulan zushê 木兰祖社. This celebration is organized together with Baiyuling 白玉岭 village.,"['Houtu furen', 'Zunzhu mingwang']"
09-29,09-29,V004-5,"9/29: Another birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 of Mulan zhongshê 木兰中社. This event is organized by Tiezao village as a whole. On these occasions, opera is performed, and, for the most part, Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
04-26,04-26,V005-1,"4/26: The birthday celebration of Yanggong taishi 杨公太师. The god goes on procession within the village as well as to the villages of Shanghengshan 上横山 and Xiahengshan 下横山, and Puzi 莆仔. These events are organized by Longquan Taishimiao 龙泉太师庙, and funds are collected on a per capita basis.",['Yanggong taishi']
06-06,06-06,V005-2,6/6: The birthday celebration of Fude zhengshen 福德正神.,['Fude zhengshen']
08-10,08-10,V005-3,8/10: The birthday celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人.,"['Houtu furen', 'Zunzhu mingwang']"
08-14,08-14,V005-4,8/14: The birthday celebration of Huangfu daren 黄府大人.,['Huangfu daren']
